method,Ne,rmse_x100,alpha_uncl_mean,alpha_uncl_min,alpha_uncl_max,alpha_clamp_pct,beta_uncl_mean,beta_uncl_min,beta_uncl_max,beta_clamp_pct,denom_mean,denom_min,cs_ratio_mean,cs_ratio_max,cond_Theta_mean,cond_Theta_max
Identity,45,0.2125,0.0883,0.0883,0.0883,0.0%,41800130.9566,12002290.2839,143044947.1944,100.0%,2.70e+23,1.73e+22,0.025000,0.025000,4.77e+08,3.09e+09
Scaled,45,0.1935,0.0882,0.0876,0.0885,0.0%,95498.2675,34878.2094,438562.6954,100.0%,1.58e+29,5.59e+27,0.029598,0.054940,2.76e+07,2.78e+08
Eigenvalue,45,0.2786,0.0889,0.0889,0.0889,0.0%,0.0003,0.0000,0.0018,0.0%,1.64e+43,1.82e+38,0.000141,0.001658,2.11e+08,1.38e+09
Identity,50,0.1213,0.1795,0.1795,0.1795,0.0%,448651862.4355,172283531.5992,1066026395.7956,100.0%,3.45e+25,4.40e+24,0.025000,0.025000,2.56e+09,2.19e+10
Scaled,50,0.1347,0.1793,0.1773,0.1799,0.0%,54627.9148,10820.8345,209323.9715,100.0%,3.04e+33,1.09e+32,0.034212,0.118556,3.31e+08,2.83e+09
Eigenvalue,50,0.5515,0.1800,0.1800,0.1800,0.0%,0.0001,0.0000,0.0003,0.0%,8.00e+44,1.02e+41,0.000004,0.000045,1.19e+08,4.37e+08
Identity,55,0.2984,0.2541,0.2541,0.2541,0.0%,389584363.3099,111056148.1426,867933877.7925,100.0%,3.44e+25,2.21e+24,0.025000,0.025000,8.92e+09,8.16e+10
Scaled,55,0.3555,0.2540,0.2526,0.2545,0.0%,22002.5520,2771.1857,94100.0406,100.0%,2.18e+34,1.28e+32,0.028899,0.098577,9.05e+08,6.72e+09
Eigenvalue,55,0.4760,0.2545,0.2545,0.2545,0.0%,0.0000,0.0000,0.0002,0.0%,1.72e+45,2.47e+43,0.000002,0.000018,7.96e+07,1.84e+08
Identity,60,0.4075,0.3162,0.3162,0.3162,0.0%,276477527.9358,79680186.5592,711088053.9892,100.0%,2.31e+25,1.36e+24,0.025000,0.025000,1.79e+10,9.77e+10
Scaled,60,0.5606,0.3161,0.3139,0.3166,0.0%,12698.6835,455.1718,108940.1336,100.0%,2.59e+34,2.79e+32,0.032243,0.142977,1.41e+09,9.58e+09
Eigenvalue,60,1.2362,0.3167,0.3167,0.3167,0.0%,0.0000,0.0000,0.0001,0.0%,2.66e+45,2.72e+42,0.000002,0.000014,6.84e+07,4.51e+08
Identity,65,0.1244,0.3688,0.3688,0.3688,0.0%,210273575.2353,66493815.2873,541109529.1981,100.0%,1.36e+25,1.11e+24,0.025000,0.025000,7.76e+09,4.35e+10
Scaled,65,0.2080,0.3688,0.3674,0.3692,0.0%,9851.7916,819.6292,50278.2873,100.0%,3.58e+34,1.65e+32,0.028957,0.107738,6.71e+08,5.37e+09
Eigenvalue,65,2.0382,0.3692,0.3692,0.3692,0.0%,0.0000,0.0000,0.0002,0.0%,1.13e+45,5.19e+42,0.000003,0.000049,1.61e+08,1.08e+09
